full_name,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
2006 BE55,-0.00608118,0.00135497,4.48805,1,2006 be55,2006,2006 BE55
358453,-0.00396724,0.000889775,4.4587,Rej.,358453,358453,358453
4528 07,-0.00363485,0.000816422,4.45217,1,4528 07,4528,4528 07
2001 OT,0.00400589,0.00090065,4.44777,1,2001 ot,2001,2001 OT
2020 PP1,-0.021201,0.00477728,4.43787,1,2020 pp1,2020,2020 PP1
376879,-0.00246072,0.000555262,4.43164,1,376879,376879,376879
2002 QQ40,0.0129447,0.00292925,4.41913,1,2002 qq40,2002,2002 QQ40
26310,-0.000934467,0.000212272,4.40221,Rej.,26310,26310,26310
474179,-0.00200459,0.000455964,4.39638,1,474179,474179,474179
1685,-0.000199546,4.56248e-05,4.37364,1,1685,1685,1685
511684,0.00567254,0.0013009,4.36047,1,511684,511684,511684
65717,0.00169306,0.000388463,4.35835,1,65717,65717,65717
613014,-0.178023,0.0408908,4.35362,Rej.,613014,613014,613014
2007 AM,-0.00449894,0.00103378,4.35195,1,2007 am,2007,2007 AM
612227,-0.00158462,0.000366288,4.32617,1,612227,612227,612227
613714,-0.00609389,0.00141383,4.3102,1,613714,613714,613714
2000 QV7,0.00961571,0.00223156,4.30896,1,2000 qv7,2000,2000 QV7
2020 QA7,-0.986975,0.22926,4.30505,Rej.,2020 qa7,2020,2020 QA7
2100,-0.000195064,4.54892e-05,4.28813,1,2100,2100,2100
162783,-0.00378447,0.000882739,4.28719,1,162783,162783,162783
474158,-0.00415458,0.000971862,4.27487,Rej.,474158,474158,474158
2021 QH2,0.0407832,0.00954156,4.27427,Rej.,2021 qh2,2021,2021 QH2
277810,0.00200808,0.000470887,4.26446,1,277810,277810,277810
377097,-0.000955976,0.000224187,4.26419,1,377097,377097,377097
2010 WT8,-0.0115701,0.00272469,4.24639,1,2010 wt8,2010,2010 WT8
2005 MF5,0.00425406,0.00100668,4.22584,1,2005 mf5,2005,2005 MF5
65679,-0.00185076,0.000438013,4.22534,Rej.,65679,65679,65679
