full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
(2016 TH94),3762462,True,False,0.827,0.373,23.1,0.519,1.14,275.0,1.31,276.0,24.58,,,,,,,2016 TH94,-0.0125928,0.00110757,-2.32103e-13,11.3698,1,N,6.051
399308 (1993 GD),20399308,True,False,1.1,0.238,15.5,0.84,1.36,423.0,0.852,201.0,20.62,,,,,,,399308,0.00300008,0.000266076,6.99709e-14,11.2753,1,N,29.114
613569 (2006 TU7),20613569,True,True,0.851,0.47,2.95,0.451,1.25,287.0,1.25,24.7,21.95,,,,,,,613569,0.00696277,0.00062345,1.17811e-13,11.1681,1,N,17.936
(2007 TF15),3387609,True,False,1.11,0.0444,4.26,1.06,1.16,426.0,0.845,337.0,24.69,,,,,,,2007 TF15,-0.00921977,0.0008391,-2.28162e-13,10.9877,1,N,6.984
437844 (1999 MN),20437844,True,True,0.674,0.665,2.03,0.226,1.12,202.0,1.78,108.0,21.01,,,5.495,,,,437844,0.00323598,0.000297196,3.48587e-14,10.8883,1,S,21.054
613995 (2008 NP3),20613995,True,False,1.0,0.334,1.43,0.669,1.34,368.0,0.978,4.28,22.85,0.193,0.023,,,,,613995,-0.00952346,0.000876253,-1.99747e-13,10.8684,Rej.,N,12.813
(2016 PF8),3756949,True,True,1.13,0.563,5.67,0.494,1.77,439.0,0.821,329.0,21.43,,,,,,,2016 PF8,0.0102822,0.000948743,1.75797e-13,10.8377,Rej.,N,19.83
(2015 EG),3712904,True,False,0.863,0.356,2.5,0.556,1.17,293.0,1.23,232.0,25.61,,,1.29,,,,2015 EG,-0.0100834,0.000936871,-1.92309e-13,10.7628,1,N,7.937
612094 (1999 NW2),20612094,True,False,1.12,0.109,8.68,0.995,1.24,431.0,0.836,80.0,23.27,,,4.2,,,,612094,-0.00342475,0.000329047,-8.42215e-14,10.4081,1,N,19.729
265482 (2005 EE),20265482,True,True,1.13,0.328,6.17,0.759,1.5,438.0,0.822,183.0,21.21,,,2.6534,,,,265482,0.00396322,0.00038495,8.85089e-14,10.2954,1,S,18.91
85953 (1999 FK21),20085953,True,False,0.739,0.703,12.6,0.219,1.26,232.0,1.55,259.0,18.09,0.59,0.32,28.08,,,,85953,-0.00137951,0.000134468,-1.41157e-14,10.259,1,N,52.178
(2021 GM1),54134666,True,False,0.978,0.0255,1.18,0.953,1.0,353.0,1.02,72.9,30.4,,,,,,,2021 GM1,-0.487617,0.0477267,-1.12776e-11,10.2168,Rej.,N,0.942
(2018 HG2),3819574,True,False,1.19,0.33,14.3,0.801,1.59,477.0,0.754,352.0,24.26,,,,,,,2018 HG2,-0.0186273,0.00187617,-4.2741e-13,9.92841,Rej.,N,20.526
264357 (2000 AZ93),20264357,True,True,0.747,0.36,8.59,0.478,1.02,236.0,1.53,202.0,21.17,0.113,0.037,,,,,264357,-0.00272009,0.000274962,-4.8162e-14,9.89259,1,S,21.903
(2017 OU18),3778624,True,False,0.826,0.377,30.4,0.514,1.14,274.0,1.31,206.0,23.98,,,,,,,2017 OU18,0.0050893,0.000517278,9.33919e-14,9.8386,1,N,11.989
(2005 RZ2),3289743,True,False,1.11,0.103,13.2,0.992,1.22,425.0,0.847,47.3,23.3,,,,,,,2005 RZ2,-0.00509821,0.000523319,-1.24946e-13,9.74206,1,S,14.508
326290 Akhenaten (1998 HE3),20326290,True,True,0.879,0.44,3.38,0.492,1.27,301.0,1.2,63.6,21.83,,,,,,,326290,-0.00178066,0.000182864,-3.16933e-14,9.73762,1,V,28.016
216985 (2000 QK130),20216985,True,True,1.18,0.262,4.72,0.871,1.49,469.0,0.768,305.0,21.34,,,,,,,216985,0.00445685,0.000463975,1.06222e-13,9.60581,1,N,22.308
(1996 AE2),3008362,True,False,1.37,0.257,37.4,1.02,1.72,584.0,0.616,270.0,20.23,,,,,,,1996 AE2,0.00205404,0.000215521,5.28365e-14,9.53058,1,N,24.052
488453 (1994 XD),20488453,True,True,2.34,0.734,4.33,0.624,4.06,1310.0,0.275,233.0,19.24,,,2.7365,,,,488453,0.00137359,0.000145685,2.28397e-14,9.42848,1,S,28.531
(2009 OS5),3465236,True,False,1.15,0.0994,1.71,1.03,1.26,449.0,0.801,146.0,24.4,,,,,,,2009 OS5,-0.0130499,0.00139317,-3.25642e-13,9.36705,1,N,11.146
613862 (2007 UY1),20613862,True,False,0.949,0.176,1.02,0.782,1.12,338.0,1.07,302.0,23.1,,,,,,,613862,-0.00819709,0.000877417,-1.82462e-13,9.34229,1,N,14.297
(2005 VL1),3297629,True,False,0.891,0.225,0.236,0.691,1.09,307.0,1.17,49.7,26.45,,,,,,,2005 VL1,-0.0102745,0.00110556,-2.16874e-13,9.29348,1,N,16.082
3361 Orpheus (1982 HR),20003361,True,True,1.21,0.323,2.65,0.819,1.6,486.0,0.74,321.0,19.54,0.3,0.357,3.5327,,,,3361,0.000860842,9.37451e-05,1.99723e-14,9.1828,1,S,39.8
481442 (2006 WO3),20481442,True,False,0.8,0.447,21.2,0.442,1.16,261.0,1.38,346.0,21.58,,,,,,,481442,-0.00335774,0.000366546,-5.65543e-14,9.16048,1,N,20.071
216523 (2001 HY7),20216523,True,True,0.914,0.412,5.21,0.537,1.29,319.0,1.13,181.0,20.7,,,0.042,,,,216523,0.00205604,0.000226606,3.8427e-14,9.07319,1,S,22.207
(2000 EM26),3092253,True,False,0.817,0.467,3.84,0.436,1.2,270.0,1.33,60.6,22.51,,,,,,,2000 EM26,-0.00991324,0.00109455,-1.65047e-13,9.05691,1,N,20.145
297418 (2000 SP43),20297418,True,True,0.812,0.467,10.3,0.433,1.19,267.0,1.35,250.0,18.52,0.407,0.388,6.314,,,,297418,-0.00130648,0.000144271,-2.16703e-14,9.05574,1,V,22.253
(2008 DB),3403149,True,False,1.05,0.233,4.22,0.808,1.3,395.0,0.912,211.0,25.8,,,,,,,2008 DB,-0.0588542,0.00655387,-1.34594e-12,8.98008,Rej.,N,13.057
455176 (1999 VF22),20455176,True,True,1.31,0.739,3.92,0.343,2.28,549.0,0.655,146.0,20.71,,,6.681,,,,455176,-0.00393878,0.000438707,-4.83084e-14,8.97815,1,N,22.283
162004 (1991 VE),20162004,True,False,0.891,0.665,7.22,0.299,1.48,307.0,1.17,263.0,18.29,,,13.4895,,,,162004,0.00204832,0.000229502,2.54142e-14,8.92505,Rej.,N,68.071
99907 (1989 VA),20099907,True,False,0.728,0.595,28.8,0.295,1.16,227.0,1.59,156.0,17.94,1.4,,2.5246,,,,99907,0.00126128,0.000142049,1.63838e-14,8.87919,1,N,33.131
310842 (2003 AK18),20310842,True,False,0.877,0.384,7.4,0.54,1.21,300.0,1.2,64.7,19.83,,,5.3257,,,,310842,-0.00200148,0.000226783,-3.76145e-14,8.82553,1,N,19.214
4179 Toutatis (1989 AC),20004179,True,True,2.54,0.625,0.448,0.954,4.13,1480.0,0.243,76.9,15.29,5.4,0.405,176.0,,,,4179,-0.000272046,3.09016e-05,-6.15092e-15,8.80362,1,S,89.341
(2021 UN7),54214728,True,False,0.999,0.393,20.3,0.606,1.39,365.0,0.987,97.0,23.36,,,,,,,2021 UN7,-0.0142823,0.00164033,-2.84062e-13,8.70696,1,N,8.044
(2013 GZ7),3634186,True,False,1.41,0.192,5.28,1.14,1.67,609.0,0.591,213.0,24.0,,,,,,,2013 GZ7,-0.00244837,0.000282283,-6.58434e-14,8.67344,Rej.,N,20.131
796478 (2009 WF),20796478,True,False,1.39,0.329,15.8,0.93,1.84,596.0,0.604,338.0,19.78,,,,,,,2009 WF,0.00992309,0.00115746,2.45347e-13,8.57314,Rej.,N,26.196
330659 (2008 GG2),20330659,True,False,1.59,0.278,13.0,1.15,2.03,730.0,0.493,292.0,23.01,,,,,,,330659,0.00318565,0.000372038,8.72153e-14,8.5627,1,S,18.114
175706 (1996 FG3),20175706,True,True,1.05,0.35,1.97,0.685,1.42,396.0,0.91,36.7,18.3,1.196,0.072,3.5942,,,,175706,-0.00056997,6.68344e-05,-1.20935e-14,8.52809,1,C,37.47
480820 (1998 VF32),20480820,True,True,0.851,0.444,23.7,0.473,1.23,287.0,1.26,46.6,20.97,,,,,,,480820,0.00158394,0.000185815,2.76305e-14,8.52426,1,X,22.015
2062 Aten (1976 AA),20002062,True,False,0.967,0.183,18.9,0.79,1.14,347.0,1.04,32.6,17.11,1.1,0.26,42.15,,,,2062,-0.000628154,7.54395e-05,-1.40592e-14,8.3266,1,Q,63.899
10302 (1989 ML),20010302,True,False,1.27,0.137,4.38,1.1,1.45,524.0,0.686,122.0,19.44,,,19.2406,,,,10302,0.00172402,0.000208107,4.49395e-14,8.28429,1,E,33.539
595116 (2001 QE96),20595116,True,False,1.31,0.0281,7.27,1.27,1.35,548.0,0.657,320.0,22.77,,,,,,,595116,-0.00505709,0.000614229,-1.36234e-13,8.23323,1,N,21.032
796120 (2009 EM1),20796120,True,False,2.53,0.554,18.0,1.13,3.93,1470.0,0.245,61.2,23.0,,,,,,,2009 EM1,-0.0118362,0.00145603,-3.03695e-13,8.12912,Rej.,S,12.011
385186 (1994 AW1),20385186,True,True,1.1,0.0756,24.1,1.02,1.19,424.0,0.849,295.0,17.64,0.811,0.223,2.5193,,,,385186,0.000486579,6.05113e-05,1.19771e-14,8.04111,1,L,36.224
470975 (2009 SC15),20470975,True,False,1.26,0.179,6.84,1.04,1.49,520.0,0.693,341.0,21.43,,,10.354,,,,470975,-0.00449069,0.00056058,-1.15146e-13,8.01081,1,S,20.641
510529 (2012 EY11),20510529,True,True,1.15,0.151,9.02,0.975,1.32,450.0,0.801,145.0,21.58,,,,,,,510529,-0.00543073,0.000688419,-1.33924e-13,7.8887,1,N,22.051
(2014 WF497),3701710,True,False,1.11,0.222,28.4,0.864,1.36,427.0,0.843,232.0,20.34,,,,,,,2014 WF497,0.00728239,0.000928765,1.71778e-13,7.84094,Rej.,N,20.074
(1997 YM9),3092168,True,False,1.1,0.104,7.84,0.982,1.21,419.0,0.859,82.7,24.36,,,,,,,1997 YM9,0.00413127,0.00053109,1.00741e-13,7.77885,1,N,8.348
(1999 UQ),3092237,True,False,1.09,0.0156,24.8,1.08,1.11,418.0,0.861,92.4,21.87,,,,,,,1999 UQ,-0.00414999,0.000537129,-1.022e-13,7.72624,1,N,23.65
(1994 WR12),3005969,True,False,0.757,0.397,6.85,0.456,1.06,240.0,1.5,153.0,22.4,,,,,,,1994 WR12,-0.0108863,0.00141065,-1.87812e-13,7.71719,1,N,27.165
348306 (2005 AY28),20348306,True,True,0.873,0.57,5.88,0.375,1.37,298.0,1.21,92.3,21.55,,,,,,,348306,-0.00473218,0.000614311,-7.02449e-14,7.70322,1,N,16.983
412976 (1987 WC),20412976,True,False,1.36,0.234,15.8,1.04,1.68,581.0,0.62,5.03,19.9,,,,,,,412976,0.0026462,0.000344521,6.87526e-14,7.68081,1,C,35.19
363505 (2003 UC20),20363505,True,True,0.781,0.337,3.78,0.518,1.04,252.0,1.43,118.0,18.47,1.876,0.029,29.6,,,,363505,-0.000424475,5.5308e-05,-7.83047e-15,7.67475,1,N,67.028
499998 (2011 PT),20499998,True,False,1.32,0.217,2.22,1.03,1.6,551.0,0.653,140.0,24.01,,,,,,,499998,-0.00873178,0.00114873,-2.24698e-13,7.60122,1,N,6.297
164207 Cardea (2004 GU9),20164207,True,True,1.0,0.136,13.7,0.865,1.14,366.0,0.984,97.3,21.19,0.163,0.219,,,,,164207,-0.00267124,0.00035223,-6.17822e-14,7.5838,1,S,21.952
6489 Golevka (1991 JX),20006489,True,True,2.48,0.619,2.26,0.944,4.01,1420.0,0.253,252.0,19.22,0.53,0.151,6.026,,,,6489,-0.00053018,7.00851e-05,-1.25076e-14,7.5648,1,Q,24.553
(2000 AA6),3025766,True,True,1.29,0.519,2.03,0.618,1.95,533.0,0.676,219.0,22.44,0.316,0.026,,,,,2000 AA6,0.00714094,0.000946907,1.39301e-13,7.54133,Rej.,N,19.009
152671 (1998 HL3),20152671,True,True,1.13,0.366,2.68,0.716,1.54,438.0,0.822,255.0,20.24,0.298,0.2,,,,,152671,-0.00229334,0.000308055,-4.96914e-14,7.44456,1,N,24.928
(2022 QX4),54297628,True,False,0.681,0.505,0.138,0.337,1.02,205.0,1.75,99.7,24.7,,,0.088812,,,,2022 QX4,-0.0287727,0.00386977,-4.16668e-13,7.43526,1,N,9.092
350523 (2000 EA14),20350523,True,True,1.12,0.203,3.56,0.891,1.34,432.0,0.834,13.6,21.16,,,,,,,350523,0.00282663,0.000382406,6.7461e-14,7.39171,1,S,19.258
467351 (2003 KO2),20467351,True,True,0.728,0.511,23.5,0.356,1.1,227.0,1.59,266.0,20.36,,,6.48,,,,467351,0.00205213,0.000277777,3.04694e-14,7.3877,1,N,18.078
494710 (2005 MO13),20494710,True,True,0.863,0.411,6.32,0.509,1.22,293.0,1.23,23.1,20.75,,,,,,,494710,-0.00308348,0.00042045,-5.60928e-14,7.33376,1,C,19.967
(2018 GY),3802409,True,False,0.767,0.406,8.75,0.455,1.08,245.0,1.47,298.0,24.83,,,,,,,2018 GY,-0.017828,0.00243387,-3.06706e-13,7.32496,1,N,4.027
334412 (2002 EZ2),20334412,True,False,1.25,0.046,13.0,1.19,1.31,510.0,0.706,149.0,20.32,,,34.077,,,,334412,-0.00209749,0.000289075,-5.50886e-14,7.25588,1,S,21.361
(2012 UK171),3615463,True,False,0.859,0.223,1.29,0.667,1.05,291.0,1.24,272.0,24.46,,,,,,,2012 UK171,-0.00223149,0.000313591,-4.63092e-14,7.11592,1,N,8.219
416151 (2002 RQ25),20416151,True,False,1.11,0.306,4.57,0.771,1.45,428.0,0.841,10.7,20.67,,,12.191,,,,416151,0.00267955,0.000377164,6.02849e-14,7.10448,1,L,20.238
