full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
443880 (2001 UZ16),20443880,True,True,1.76,0.427,12.7,1.01,2.51,853.0,0.422,129.0,19.38,0.228,0.593,13.719,,,
(1997 XE10),3007642,True,False,1.87,0.478,6.29,0.977,2.77,935.0,0.385,328.0,24.53,,,,,,
416002 (2002 BN),20416002,True,False,0.875,0.546,27.8,0.397,1.35,299.0,1.2,305.0,20.49,,,,,,
465617 (2009 EK1),20465617,True,True,1.24,0.229,9.12,0.957,1.53,505.0,0.713,155.0,21.36,,,,,,
614470 Flordeneu (2009 ST19),20614470,True,True,2.36,0.595,6.73,0.954,3.76,1320.0,0.272,168.0,18.38,,,,,,
153201 (2000 WO107),20153201,True,True,0.911,0.781,7.77,0.2,1.62,318.0,1.13,313.0,19.3,0.51,0.129,5.022,,,
412983 (1996 FO3),20412983,True,True,1.44,0.29,5.81,1.02,1.86,632.0,0.569,72.4,20.16,,,,,,
478784 (2012 UV136),20478784,True,False,1.01,0.14,2.1,0.868,1.15,370.0,0.973,245.0,25.6,,,,,,
741081 (2005 LW3),20741081,True,True,1.44,0.464,6.02,0.772,2.11,630.0,0.571,293.0,21.67,,,3.6,,,
153814 (2001 WN5),20153814,True,True,1.71,0.467,1.92,0.912,2.51,818.0,0.44,287.0,18.28,0.932,0.097,4.253,,,
4688 (1980 WF),20004688,True,False,2.23,0.518,6.37,1.08,3.39,1220.0,0.295,163.0,19.6,0.6,0.18,,,,
192559 (1998 VO),20192559,True,True,1.07,0.227,10.1,0.831,1.32,407.0,0.884,176.0,20.43,,,,,,
410777 (2009 FD),20410777,True,False,1.16,0.493,3.12,0.59,1.74,459.0,0.785,50.4,22.18,0.472,0.01,4.0,,,
199145 (2005 YY128),20199145,True,True,1.65,0.732,3.77,0.441,2.86,773.0,0.466,87.7,18.3,,,15.59,,,
251732 (1998 HG49),20251732,True,False,1.2,0.113,4.19,1.07,1.34,480.0,0.749,188.0,21.76,,,,,,
(2003 GQ22),3152317,True,True,0.872,0.181,17.0,0.714,1.03,298.0,1.21,105.0,21.34,,,,,,
29075 (1950 DA),20029075,True,True,1.7,0.508,12.2,0.837,2.56,809.0,0.445,41.3,17.28,1.3,0.07,2.1216,,,
(2012 HN13),3602837,True,False,1.41,0.308,4.07,0.974,1.84,611.0,0.59,7.88,22.96,,,,,,
(2010 FX9),3512704,True,False,1.13,0.367,3.77,0.716,1.55,440.0,0.819,64.8,24.06,0.03,0.425,,,,
(2005 TG50),3293922,True,False,0.923,0.135,2.39,0.798,1.05,324.0,1.11,75.2,24.83,,,,,,
526798 (2007 AA9),20526798,True,False,0.858,0.42,6.8,0.497,1.22,290.0,1.24,5.44,22.58,,,,,,
(2005 EY169),3274304,True,False,1.31,0.233,20.9,1.0,1.61,546.0,0.66,274.0,22.29,,,,,,
612050 (1997 GL3),20612050,True,True,2.27,0.784,6.68,0.49,4.05,1250.0,0.288,139.0,19.14,,,7.572,,,
(2008 BP16),3401191,True,False,0.829,0.65,29.2,0.29,1.37,276.0,1.31,120.0,21.81,,,,,,
2063 Bacchus (1977 HB),20002063,True,False,1.08,0.349,9.43,0.701,1.45,409.0,0.881,235.0,17.21,1.024,0.203,14.904,,,
(2017 BM123),3768609,True,False,1.31,0.297,7.83,0.922,1.7,549.0,0.656,265.0,23.81,,,2.1503,,,
(2002 EW8),3117430,True,False,1.85,0.46,11.4,0.998,2.7,917.0,0.393,168.0,23.84,,,,,,
(2015 LA2),3720924,True,False,0.883,0.281,7.71,0.635,1.13,303.0,1.19,14.5,23.01,,,,,,
204131 (2003 YL),20204131,True,False,1.15,0.632,5.65,0.421,1.87,448.0,0.803,8.47,19.94,,,10.27,,,
(2002 GD10),3120896,True,False,1.22,0.131,19.2,1.06,1.38,490.0,0.734,222.0,22.71,,,0.7356,,,
(2008 WT62),3440396,True,False,0.884,0.354,18.2,0.571,1.2,304.0,1.19,33.9,23.11,,,,,,
(2014 US7),3693721,True,False,0.859,0.273,9.86,0.624,1.09,291.0,1.24,83.6,26.6,,,,,,
(2013 BA74),3625704,True,False,1.75,0.445,5.22,0.975,2.53,849.0,0.424,171.0,25.4,,,,,,
19356 (1997 GH3),20019356,True,False,2.51,0.558,3.01,1.11,3.91,1450.0,0.248,93.2,17.0,0.91,0.34,6.714,,,
433 Eros (A898 PA),20000433,True,False,1.46,0.223,10.8,1.13,1.78,643.0,0.56,311.0,10.38,16.84,0.25,5.27,0.0004463,,
152828 (1999 VT25),20152828,True,True,1.16,0.523,5.15,0.554,1.77,458.0,0.787,208.0,21.26,,,,,,
457662 (2009 DZ),20457662,True,True,1.45,0.302,14.1,1.01,1.89,640.0,0.562,214.0,22.0,,,,,,
375505 (2008 UN90),20375505,True,False,1.4,0.126,17.5,1.23,1.58,608.0,0.592,121.0,20.2,,,,,,
154007 (2002 BY),20154007,True,False,1.82,0.347,2.73,1.19,2.45,895.0,0.402,190.0,18.12,,,14.91,,,
152667 (1998 FR11),20152667,True,False,2.81,0.708,6.68,0.821,4.79,1720.0,0.21,293.0,16.43,,,,,,
