441987     -3.7215e-14  1.39283e-15  26.719    -3.83764e-14 1.475e-15  26.0179  3  0.833841     0.787389    0.572486
350751     -5.46857e-14 9.64795e-15   5.66811  -4.68147e-14 9.809e-15   4.77263 1  0.81582      0.802426    0.572077
154590     -8.52688e-14 1.20326e-14   7.08648  -7.40929e-14 1.556e-14   4.76176 1  0.928799     0.718243    0.568177
477719     -1.79163e-13 1.47246e-14  12.1676   -1.66319e-13 1.747e-14   9.52028 1  0.872257     0.735183    0.562143
3908        1.41751e-14 2.90262e-15   4.88357   1.21328e-14 2.231e-15   5.4383  1  0.703591     0.9154      0.557849
4660        1.84571e-14 5.72957e-15   3.22138   1.36106e-14 6.626e-15   2.05412 1  0.845881     0.731442    0.553278
330659      8.72153e-14 1.01855e-14   8.5627    9.49569e-14 1.043e-14   9.10421 1  0.760059     0.742241    0.531031
481442     -5.65543e-14 6.17372e-15   9.16048  -6.14129e-14 6.969e-15   8.8123  1  0.786982     0.697174    0.521853
216985      1.06222e-13 1.10581e-14   9.60581   9.66297e-14 1.52e-14    6.35722 1  0.867441     0.631069    0.510312
410777      7.37763e-14 1.36107e-14   5.42046   8.38213e-14 1.46e-14    5.74118 1  0.73802      0.688011    0.503249
412976      6.87526e-14 8.95122e-15   7.68081   6.07377e-14 1.33e-14    4.56675 1  0.895395     0.602622    0.49994
4034       -3.58242e-14 5.95672e-15   6.01408  -4.02517e-14 6.69e-15    6.01669 1  0.743272     0.661803    0.494269
474179     -4.90935e-14 1.11668e-14   4.39638  -4.06441e-14 1.318e-14   3.08377 1  0.756656     0.641079    0.489126
99907       1.63838e-14 1.84519e-15   8.87919   1.49896e-14 2.228e-15   6.72781 1  0.755608     0.625781    0.481957
138852      3.40408e-14 6.03496e-15   5.64061   3.81329e-14 6.192e-15   6.15841 1  0.678062     0.660865    0.473265
2340       -2.99871e-14 5.2506e-16   57.1118   -2.96006e-14 6.336e-16  46.718   1  0.736201     0.610085    0.46975
416002     -6.40985e-14 1.14522e-14   5.59705  -5.55313e-14 1.431e-14   3.8806  1  0.748079     0.598683    0.467426
612600     -1.76501e-13 1.48383e-14  11.895    -1.67139e-13 1.489e-14  11.2249  1  0.630935     0.628745    0.445362
526798     -1.07031e-13 2.03798e-14   5.25181  -1.19977e-13 2.103e-14   5.70502 1  0.635221     0.615581    0.442062
216523      3.8427e-14  4.23523e-15   9.07319   4.1089e-14  4.375e-15   9.39178 1  0.628546     0.608465    0.437177
86666      -2.41751e-14 7.07791e-15   3.41557  -2.05214e-14 4.782e-15   4.29138 1  0.516212     0.764052    0.427738
192559     -3.64497e-14 6.69204e-15   5.44673  -3.23121e-14 6.997e-15   4.61799 1  0.618292     0.591344    0.427353
85953      -1.41157e-14 1.37593e-15  10.259    -1.32834e-14 1.419e-15   9.36111 1  0.604888     0.586528    0.421079
380818      4.91651e-14 1.01058e-14   4.86503   4.30054e-14 1.065e-14   4.03807 1  0.609519     0.578373    0.41955
483422     -2.91028e-14 6.98817e-15   4.16458  -2.48426e-14 7.653e-15   3.24613 1  0.609631     0.556671    0.411076
525484     -1.01746e-13 2.84249e-14   3.57948  -1.18503e-13 3.036e-14   3.90325 1  0.589509     0.551935    0.402906
2016 CO246 -6.36675e-13 1.6356e-13    3.89261  -7.32151e-13 1.728e-13   4.23699 1  0.583739     0.552525    0.401276
